epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,598.916,1.3665,1.947,1.41073,0.36107,0.35384,0.29086,0.17226,1.35774,1.6038,1.23092,0.0700057,0.0033327,0.0033327
2,1184.63,1.32296,1.61095,1.32554,0.41071,0.41046,0.34697,0.20747,1.32972,1.43924,1.21356,0.0400042,0.00666456,0.00666456
3,1769.37,1.36985,1.62623,1.3528,0.44584,0.40768,0.36788,0.22239,1.31902,1.42668,1.22267,0.00999679,0.00999049,0.00999049
4,2352.5,1.34242,1.57428,1.3452,0.49915,0.44779,0.42461,0.25838,1.24629,1.3072,1.18389,0.00998003,0.00998003,0.00998003
5,2929.04,1.27593,1.46041,1.30852,0.5294,0.478,0.47073,0.29319,1.20226,1.20719,1.1466,0.00996452,0.00996452,0.00996452
6,3504.82,1.23661,1.39836,1.28797,0.55533,0.51159,0.51098,0.32097,1.17047,1.15744,1.13334,0.0099446,0.0099446,0.0099446
7,4081.05,1.21143,1.35723,1.27593,0.58025,0.52776,0.53457,0.3368,1.15198,1.11828,1.11836,0.00992029,0.00992029,0.00992029
8,4657.29,1.19663,1.33083,1.26231,0.5846,0.5431,0.55043,0.34918,1.13862,1.08703,1.10609,0.00989163,0.00989163,0.00989163
9,5233.34,1.18356,1.30406,1.25504,0.60341,0.54991,0.56634,0.36077,1.12608,1.06625,1.09813,0.00985862,0.00985862,0.00985862
10,5811.45,1.17325,1.28773,1.2502,0.61093,0.55869,0.57602,0.36901,1.11865,1.05272,1.09344,0.00982132,0.00982132,0.00982132
11,6388,1.16199,1.27151,1.24322,0.62091,0.56154,0.585,0.37545,1.11383,1.04136,1.09043,0.00977975,0.00977975,0.00977975
12,6964.33,1.15806,1.26202,1.24254,0.62894,0.56756,0.59232,0.38073,1.10813,1.03263,1.08665,0.00973396,0.00973396,0.00973396
13,7541.86,1.15033,1.2474,1.23713,0.6368,0.57121,0.59836,0.38565,1.10401,1.02655,1.08404,0.00968399,0.00968399,0.00968399
14,8119.99,1.14691,1.23836,1.23316,0.64371,0.5755,0.60464,0.39019,1.1005,1.02024,1.08179,0.0096299,0.0096299,0.0096299
15,8695.48,1.1431,1.22819,1.2277,0.64964,0.57842,0.60942,0.39414,1.09669,1.01494,1.0789,0.00957172,0.00957172,0.00957172
16,9266.46,1.13655,1.21922,1.22642,0.65332,0.58084,0.61343,0.39723,1.09295,1.00863,1.07668,0.00950953,0.00950953,0.00950953
17,9841.11,1.13545,1.21312,1.22577,0.65809,0.58229,0.61735,0.39948,1.08973,1.00226,1.07374,0.00944338,0.00944338,0.00944338
18,10420,1.12796,1.2065,1.22199,0.6603,0.58489,0.62163,0.40263,1.08623,0.99601,1.0712,0.00937334,0.00937334,0.00937334
19,10999,1.12644,1.20029,1.22147,0.66635,0.58543,0.62563,0.40611,1.08267,0.99044,1.06884,0.00929948,0.00929948,0.00929948
20,11574.3,1.12488,1.19589,1.21863,0.67717,0.58476,0.63089,0.40997,1.07978,0.9843,1.06664,0.00922186,0.00922186,0.00922186
21,12151.7,1.12284,1.19093,1.21599,0.67764,0.59039,0.63538,0.41291,1.07751,0.97813,1.06474,0.00914058,0.00914058,0.00914058
22,12728.6,1.11683,1.18431,1.21252,0.68277,0.59018,0.64008,0.41631,1.07516,0.97232,1.06291,0.0090557,0.0090557,0.0090557
23,13305.4,1.11525,1.18526,1.21106,0.67665,0.60084,0.64378,0.41906,1.07249,0.96724,1.0608,0.00896731,0.00896731,0.00896731
24,13882.2,1.11041,1.17306,1.20872,0.68564,0.59944,0.64795,0.42139,1.07023,0.96173,1.05894,0.0088755,0.0088755,0.0088755
25,14459.8,1.10955,1.16766,1.20755,0.68409,0.60781,0.65177,0.42424,1.06839,0.95541,1.05717,0.00878036,0.00878036,0.00878036
26,15038.3,1.10859,1.1643,1.20702,0.68887,0.60947,0.65532,0.427,1.06628,0.94884,1.05549,0.00868198,0.00868198,0.00868198
27,15615.7,1.10756,1.16182,1.20555,0.69072,0.6157,0.65962,0.43039,1.06383,0.94186,1.05368,0.00858046,0.00858046,0.00858046
28,16193.8,1.10728,1.15984,1.20359,0.69694,0.61606,0.66398,0.43343,1.06213,0.93544,1.05179,0.0084759,0.0084759,0.0084759
29,16771.6,1.10112,1.15036,1.20202,0.69747,0.62321,0.66821,0.43653,1.05982,0.92911,1.04997,0.00836841,0.00836841,0.00836841
30,17349.2,1.10101,1.15098,1.19899,0.69992,0.62607,0.67175,0.43885,1.05839,0.92366,1.04837,0.00825808,0.00825808,0.00825808
