epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,614.879,1.99963,2.41953,2.12335,0.64972,0.13446,0.1105,0.05716,1.88682,2.50905,2.19377,0.0700053,0.00333274,0.00333274
2,1226.04,1.6214,2.05672,1.78517,0.68977,0.17585,0.16083,0.08952,1.69567,2.08392,1.92613,0.0399393,0.00660008,0.00660008
3,1835.59,1.50302,1.89271,1.6781,0.51908,0.21309,0.19556,0.11456,1.58078,1.86162,1.78941,0.00980732,0.00980142,0.00980142
4,2442.25,1.42385,1.77368,1.6036,0.61454,0.22938,0.22391,0.13274,1.5096,1.74752,1.70991,0.009703,0.009703,0.009703
5,3046.24,1.37155,1.68853,1.55356,0.62969,0.25826,0.24639,0.14789,1.465,1.66398,1.66133,0.009604,0.009604,0.009604
6,3660.94,1.33591,1.62469,1.52229,0.48301,0.28614,0.27126,0.1637,1.4276,1.58933,1.63385,0.009505,0.009505,0.009505
7,4268.52,1.31075,1.58285,1.50352,0.44673,0.30709,0.28742,0.17321,1.40617,1.55407,1.61311,0.009406,0.009406,0.009406
8,4875.95,1.29349,1.55047,1.48811,0.44127,0.31917,0.29853,0.18143,1.38271,1.52054,1.58954,0.009307,0.009307,0.009307
9,5479.58,1.27696,1.51989,1.47254,0.42744,0.32825,0.30749,0.18736,1.36854,1.49585,1.57412,0.009208,0.009208,0.009208
10,6085.8,1.2635,1.49247,1.46244,0.44255,0.33185,0.31398,0.19199,1.3587,1.4809,1.56326,0.009109,0.009109,0.009109
11,6691.45,1.25176,1.47638,1.45332,0.43666,0.34713,0.31974,0.19584,1.34883,1.47056,1.55455,0.00901,0.00901,0.00901
12,7294.19,1.24136,1.46003,1.44407,0.43936,0.35413,0.32436,0.19922,1.34164,1.46287,1.54762,0.008911,0.008911,0.008911
13,7896.1,1.23129,1.44048,1.43625,0.44632,0.3588,0.32887,0.20242,1.33564,1.45637,1.54114,0.008812,0.008812,0.008812
14,8499.03,1.22175,1.42326,1.42956,0.46047,0.36013,0.33264,0.20504,1.32976,1.45221,1.53529,0.008713,0.008713,0.008713
15,9103.98,1.215,1.4125,1.42496,0.46036,0.36483,0.33669,0.20794,1.32498,1.44759,1.53125,0.008614,0.008614,0.008614
16,9707.78,1.2073,1.39828,1.41868,0.4735,0.36804,0.33993,0.2101,1.32154,1.44508,1.52833,0.008515,0.008515,0.008515
17,10311.8,1.20474,1.39133,1.41292,0.48515,0.36925,0.34328,0.21265,1.31649,1.44109,1.5225,0.008416,0.008416,0.008416
18,10916.7,1.20192,1.38452,1.41106,0.48785,0.37492,0.34781,0.21552,1.31009,1.43481,1.51794,0.008317,0.008317,0.008317
19,11522.8,1.19446,1.37312,1.40673,0.49209,0.37648,0.35338,0.21914,1.30433,1.42824,1.51332,0.008218,0.008218,0.008218
20,12130.3,1.18809,1.36603,1.40223,0.49804,0.38196,0.35829,0.22229,1.29965,1.41999,1.50855,0.008119,0.008119,0.008119
21,12733.4,1.18484,1.35764,1.39808,0.49819,0.3872,0.36379,0.22583,1.29535,1.41124,1.50444,0.00802,0.00802,0.00802
22,13337.5,1.17923,1.34315,1.39301,0.50945,0.39154,0.36897,0.22903,1.29062,1.40234,1.49921,0.007921,0.007921,0.007921
23,13942,1.17402,1.33799,1.39215,0.51295,0.3962,0.37437,0.23246,1.28604,1.39119,1.49471,0.007822,0.007822,0.007822
24,14544.3,1.17158,1.33391,1.38652,0.51488,0.40207,0.3807,0.23597,1.28084,1.37808,1.48981,0.007723,0.007723,0.007723
25,15143.5,1.1653,1.32292,1.385,0.51743,0.41174,0.38718,0.23986,1.27402,1.36429,1.48457,0.007624,0.007624,0.007624
26,15749,1.16075,1.31468,1.38085,0.5187,0.41464,0.39308,0.24393,1.26773,1.35168,1.47911,0.007525,0.007525,0.007525
