epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,751.267,1.3029,1.89827,1.34413,0.38498,0.36608,0.31485,0.18092,1.33851,1.60849,1.24578,0.0700057,0.0033327,0.0033327
2,1497.67,1.26878,1.57157,1.31656,0.46241,0.44552,0.41873,0.25501,1.27136,1.37803,1.2219,0.0400042,0.00666456,0.00666456
3,2241.11,1.32163,1.59831,1.35226,0.48072,0.44564,0.42289,0.25857,1.27005,1.355,1.2368,0.00999679,0.00999049,0.00999049
4,2982.07,1.29341,1.54573,1.34472,0.51968,0.49104,0.47804,0.29749,1.20459,1.24616,1.19201,0.00998003,0.00998003,0.00998003
5,3722.89,1.23018,1.43198,1.30794,0.55693,0.525,0.52344,0.33181,1.16067,1.15748,1.15995,0.00996452,0.00996452,0.00996452
6,4462.08,1.19187,1.36512,1.28162,0.60134,0.55255,0.56696,0.36024,1.13648,1.10037,1.13939,0.0099446,0.0099446,0.0099446
7,5201.79,1.16733,1.32399,1.26868,0.6334,0.55804,0.59608,0.37983,1.11799,1.05987,1.12803,0.00992029,0.00992029,0.00992029
8,5942.22,1.15225,1.29354,1.25603,0.65647,0.56992,0.61143,0.39168,1.10129,1.02957,1.11249,0.00989163,0.00989163,0.00989163
9,6682.76,1.1401,1.26577,1.24882,0.66291,0.58524,0.62483,0.40181,1.08518,1.00821,1.10354,0.00985862,0.00985862,0.00985862
10,7422.19,1.12853,1.2482,1.24243,0.66898,0.59187,0.6321,0.40844,1.07632,0.99467,1.09825,0.00982132,0.00982132,0.00982132
11,8162.86,1.11874,1.23176,1.23434,0.6746,0.59799,0.64019,0.41496,1.07148,0.98544,1.09498,0.00977975,0.00977975,0.00977975
12,8903.22,1.11384,1.2225,1.23136,0.68232,0.60319,0.64683,0.42066,1.06773,0.97683,1.0918,0.00973396,0.00973396,0.00973396
13,9643.48,1.10806,1.20661,1.22812,0.6865,0.60634,0.65193,0.42448,1.06386,0.96987,1.08931,0.00968399,0.00968399,0.00968399
14,10385.3,1.10518,1.19789,1.22469,0.68731,0.61213,0.65675,0.42865,1.06107,0.96386,1.08722,0.0096299,0.0096299,0.0096299
15,11125.5,1.10156,1.18713,1.22035,0.69163,0.61471,0.66221,0.433,1.05757,0.95818,1.0845,0.00957172,0.00957172,0.00957172
16,11864.9,1.09446,1.17988,1.21921,0.69621,0.62023,0.66831,0.43677,1.05413,0.95157,1.08203,0.00950953,0.00950953,0.00950953
17,12603.3,1.09284,1.17082,1.21568,0.6979,0.62514,0.67232,0.4403,1.05143,0.94504,1.07978,0.00944338,0.00944338,0.00944338
18,13342.8,1.08656,1.16684,1.21372,0.70066,0.63038,0.6769,0.44406,1.04901,0.93878,1.07766,0.00937334,0.00937334,0.00937334
19,14084,1.08373,1.15992,1.21129,0.70407,0.63294,0.68003,0.44709,1.04595,0.93287,1.07556,0.00929948,0.00929948,0.00929948
20,14822.8,1.08056,1.15382,1.20858,0.70388,0.6399,0.6835,0.45007,1.04324,0.92671,1.0731,0.00922186,0.00922186,0.00922186
21,15563.5,1.07824,1.14939,1.20658,0.70643,0.64446,0.68792,0.45361,1.04141,0.92049,1.07095,0.00914058,0.00914058,0.00914058
22,16303,1.072,1.14135,1.20463,0.70953,0.64535,0.69254,0.45697,1.03843,0.91451,1.06824,0.0090557,0.0090557,0.0090557
23,17043.6,1.07164,1.14004,1.20394,0.7077,0.65132,0.69563,0.45961,1.03629,0.90869,1.06608,0.00896731,0.00896731,0.00896731
24,17782.9,1.06796,1.13193,1.19992,0.71392,0.65359,0.69929,0.46305,1.0334,0.90227,1.06365,0.0088755,0.0088755,0.0088755
25,18523.1,1.06847,1.12576,1.19866,0.71835,0.65668,0.70336,0.46601,1.03153,0.89568,1.06182,0.00878036,0.00878036,0.00878036
26,19264.3,1.06523,1.12494,1.19739,0.72482,0.65753,0.70612,0.46871,1.02924,0.88959,1.05974,0.00868198,0.00868198,0.00868198
27,20005.9,1.06375,1.12065,1.19512,0.72912,0.65968,0.70956,0.47165,1.02695,0.88359,1.05767,0.00858046,0.00858046,0.00858046
28,20745.7,1.06193,1.11946,1.19701,0.7352,0.65914,0.71271,0.47415,1.02464,0.87842,1.05565,0.0084759,0.0084759,0.0084759
29,21485.8,1.05925,1.11009,1.19306,0.74042,0.65914,0.71583,0.47651,1.02304,0.87344,1.05372,0.00836841,0.00836841,0.00836841
30,22224.9,1.05893,1.10589,1.19108,0.74376,0.66101,0.71976,0.4797,1.02169,0.86772,1.05207,0.00825808,0.00825808,0.00825808
31,22964.4,1.05723,1.10571,1.18954,0.74485,0.66507,0.7238,0.48264,1.02007,0.86323,1.05021,0.00814503,0.00814503,0.00814503
32,23704.7,1.05026,1.0967,1.18843,0.7495,0.66681,0.72717,0.4854,1.01828,0.85852,1.04849,0.00802938,0.00802938,0.00802938
33,24443.4,1.0498,1.09234,1.18647,0.75196,0.66837,0.72951,0.48747,1.01669,0.85295,1.04682,0.00791122,0.00791122,0.00791122
34,25183.1,1.0482,1.0935,1.18511,0.7497,0.67221,0.73286,0.48965,1.01505,0.84764,1.04512,0.00779069,0.00779069,0.00779069
35,25922.1,1.04526,1.0857,1.1839,0.75905,0.66967,0.73622,0.49215,1.01285,0.84245,1.04366,0.00766789,0.00766789,0.00766789
