epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5713.22,1.47358,2.08024,1.82217,0.501,0.52358,0.46945,0.25485,1.5616,1.52372,1.85526,0.0700004,0.00333329,0.00333329
2,11529.7,1.41936,1.92755,1.78067,0.42888,0.53283,0.37962,0.19689,1.59455,1.63134,1.90315,0.0399996,0.0066659,0.0066659
3,17341.5,1.45289,2.02461,1.81715,0.45988,0.33631,0.30552,0.14839,1.81802,2.1062,2.15236,0.00999601,0.00999562,0.00999562
4,23125.2,1.43877,1.98645,1.80591,0.24726,0.11363,0.15463,0.07871,2.73165,4.34627,3.03295,0.00999023,0.00999023,0.00999023
5,28924.8,1.36667,1.83931,1.73748,0.03043,0.05158,0.02477,0.0091,2.94997,4.84561,3.1957,0.00998264,0.00998264,0.00998264
6,34735.4,1.32178,1.73688,1.69895,0.02737,0.06274,0.02525,0.00883,2.92412,4.97261,3.20626,0.00997288,0.00997288,0.00997288
7,40525.2,1.29872,1.67993,1.67115,0.02913,0.0579,0.02545,0.00946,2.8654,5.0332,3.19199,0.00996097,0.00996097,0.00996097
8,46313.7,1.27511,1.63142,1.65141,0.1571,0.06039,0.09135,0.02402,2.83244,5.08325,3.19635,0.0099469,0.0099469,0.0099469
9,52108.8,1.25844,1.60113,1.63953,0.15962,0.06267,0.09629,0.05144,2.70931,5.06753,3.1871,0.00993068,0.00993068,0.00993068
10,57930.7,1.24952,1.57929,1.62996,0.37224,0.07532,0.20801,0.11246,2.62455,4.95616,3.13875,0.00991232,0.00991232,0.00991232
11,63736.5,1.23918,1.54412,1.61727,0.25658,0.1001,0.16235,0.08771,2.54303,4.7317,3.05906,0.00989183,0.00989183,0.00989183
12,69555.3,1.22413,1.52093,1.60544,0.17257,0.1546,0.14479,0.07007,2.43021,4.38358,2.92955,0.00986922,0.00986922,0.00986922
13,75368.6,1.22235,1.51028,1.60216,0.1417,0.24929,0.16776,0.08089,2.31633,3.95366,2.78788,0.00984449,0.00984449,0.00984449
14,81133.2,1.21237,1.49512,1.59366,0.11389,0.36545,0.20221,0.09661,2.17949,3.53602,2.64738,0.00981765,0.00981765,0.00981765
15,86940.8,1.20628,1.48197,1.58921,0.5284,0.19704,0.24936,0.12145,2.04819,3.11406,2.49921,0.00978873,0.00978873,0.00978873
16,92753.3,1.20304,1.46549,1.58212,0.64994,0.18255,0.29895,0.1482,1.93861,2.77694,2.36387,0.00975773,0.00975773,0.00975773
17,98630.2,1.19676,1.45906,1.57647,0.61135,0.25321,0.34514,0.17365,1.85254,2.47646,2.24107,0.00972466,0.00972466,0.00972466
18,104438,1.19105,1.44988,1.57435,0.5626,0.32939,0.38895,0.19838,1.7862,2.20622,2.13869,0.00968955,0.00968955,0.00968955
19,110207,1.19032,1.4396,1.56979,0.53866,0.39346,0.41939,0.21663,1.72921,1.98507,2.05444,0.00965239,0.00965239,0.00965239
20,116019,1.18749,1.43519,1.5682,0.52573,0.44353,0.44015,0.22983,1.68868,1.82445,1.99019,0.00961322,0.00961322,0.00961322
21,121840,1.1843,1.4318,1.56662,0.52592,0.47836,0.46284,0.24342,1.66012,1.70369,1.9438,0.00957205,0.00957205,0.00957205
22,127659,1.18101,1.4238,1.56096,0.52684,0.50564,0.47974,0.25362,1.63484,1.61723,1.90469,0.00952889,0.00952889,0.00952889
23,133481,1.17793,1.41609,1.55758,0.52813,0.5249,0.48808,0.25982,1.61238,1.55755,1.87169,0.00948377,0.00948377,0.00948377
24,139267,1.17184,1.41321,1.55488,0.52317,0.54305,0.49371,0.264,1.59976,1.5171,1.85047,0.00943671,0.00943671,0.00943671
25,145091,1.17301,1.40833,1.55315,0.52016,0.55157,0.49608,0.26582,1.58626,1.49846,1.83058,0.00938772,0.00938772,0.00938772
26,150915,1.17547,1.39643,1.55546,0.51458,0.56368,0.49782,0.26815,1.58021,1.49045,1.8191,0.00933683,0.00933683,0.00933683
27,156733,1.16452,1.39145,1.54664,0.50882,0.57528,0.49939,0.2694,1.5778,1.49358,1.81163,0.00928405,0.00928405,0.00928405
28,162544,1.16918,1.39318,1.54901,0.50636,0.57599,0.49809,0.26888,1.57913,1.51376,1.80663,0.00922942,0.00922942,0.00922942
29,168323,1.16431,1.38102,1.54141,0.49998,0.5818,0.4946,0.26691,1.58019,1.54879,1.8016,0.00917296,0.00917296,0.00917296
30,174411,1.16333,1.37984,1.54198,0.4896,0.59584,0.49193,0.26633,1.57702,1.58047,1.79383,0.00911469,0.00911469,0.00911469
31,180681,1.15959,1.37296,1.54027,0.48692,0.60375,0.48824,0.2654,1.56727,1.61405,1.7813,0.00905463,0.00905463,0.00905463
32,187000,1.15939,1.36857,1.53893,0.48531,0.60727,0.48707,0.26539,1.5624,1.66816,1.77343,0.00899282,0.00899282,0.00899282
33,193232,1.15567,1.36806,1.53689,0.48449,0.61035,0.48628,0.26614,1.56356,1.70859,1.77282,0.00892928,0.00892928,0.00892928
34,199484,1.15481,1.36312,1.53513,0.49117,0.61298,0.49073,0.26962,1.55697,1.72538,1.76623,0.00886404,0.00886404,0.00886404
35,205799,1.15151,1.35662,1.5289,0.49618,0.61669,0.49505,0.27327,1.54714,1.73757,1.75855,0.00879713,0.00879713,0.00879713
36,212076,1.15156,1.35619,1.53038,0.49704,0.62244,0.49754,0.27515,1.54553,1.78308,1.75604,0.00872857,0.00872857,0.00872857
37,218320,1.14823,1.34919,1.52326,0.4934,0.62364,0.49449,0.27467,1.54143,1.83858,1.74947,0.00865839,0.00865839,0.00865839
38,224555,1.14832,1.34511,1.52551,0.48798,0.62508,0.49077,0.27351,1.53904,1.90429,1.74454,0.00858664,0.00858664,0.00858664
39,230844,1.1451,1.34219,1.52305,0.48621,0.62397,0.48896,0.27321,1.53343,1.97503,1.73877,0.00851333,0.00851333,0.00851333
40,237084,1.14296,1.34072,1.52213,0.49342,0.62202,0.49139,0.27588,1.52385,1.98211,1.72739,0.00843851,0.00843851,0.00843851
41,243300,1.14193,1.32768,1.52113,0.49326,0.62265,0.4885,0.27548,1.5247,1.99684,1.72535,0.0083622,0.0083622,0.0083622
42,249510,1.13814,1.33152,1.51839,0.49851,0.62408,0.49018,0.27835,1.51652,1.99517,1.71682,0.00828443,0.00828443,0.00828443
43,255786,1.13885,1.32273,1.51587,0.49984,0.62742,0.49318,0.28098,1.50822,2.00136,1.70941,0.00820525,0.00820525,0.00820525
44,262078,1.13408,1.32342,1.51495,0.50088,0.6312,0.49455,0.28273,1.49471,2.00198,1.7009,0.00812468,0.00812468,0.00812468
45,268333,1.13168,1.3145,1.51199,0.50711,0.63517,0.49604,0.28389,1.48722,2.02245,1.69531,0.00804277,0.00804277,0.00804277
46,274578,1.1334,1.3183,1.51496,0.51042,0.63737,0.49799,0.28531,1.48282,2.04703,1.69128,0.00795954,0.00795954,0.00795954
47,280859,1.1329,1.30908,1.51068,0.51175,0.63814,0.49837,0.2854,1.48005,2.09852,1.6856,0.00787503,0.00787503,0.00787503
48,287111,1.12859,1.31155,1.51017,0.5121,0.63913,0.49887,0.28612,1.48004,2.15148,1.68257,0.00778929,0.00778929,0.00778929
49,293370,1.12619,1.29778,1.50451,0.51512,0.6412,0.50221,0.28828,1.47611,2.17471,1.68118,0.00770234,0.00770234,0.00770234
50,299648,1.12852,1.29549,1.50749,0.52022,0.6404,0.50505,0.29044,1.4739,2.17055,1.68046,0.00761423,0.00761423,0.00761423
51,305941,1.12161,1.28986,1.50099,0.52526,0.63718,0.50587,0.29086,1.47635,2.20475,1.68175,0.007525,0.007525,0.007525
52,312259,1.12039,1.28607,1.49906,0.52544,0.63817,0.50567,0.29162,1.47294,2.18785,1.67991,0.00743468,0.00743468,0.00743468
53,318518,1.11617,1.28286,1.49854,0.52509,0.63772,0.50659,0.2932,1.46934,2.1816,1.67662,0.00734332,0.00734332,0.00734332
54,324830,1.1186,1.27848,1.49711,0.52108,0.63302,0.50476,0.29278,1.46803,2.19165,1.67587,0.00725094,0.00725094,0.00725094
55,331147,1.11424,1.27089,1.49525,0.52453,0.63795,0.50872,0.29652,1.46093,2.14056,1.66711,0.00715761,0.00715761,0.00715761
56,337491,1.1109,1.2723,1.49218,0.52014,0.63914,0.50649,0.29566,1.4566,2.18471,1.66122,0.00706335,0.00706335,0.00706335
57,343770,1.1118,1.26839,1.49002,0.51603,0.64895,0.50416,0.29543,1.44783,2.23161,1.65435,0.0069682,0.0069682,0.0069682
58,350078,1.10715,1.25867,1.48619,0.5149,0.65391,0.50417,0.29663,1.442,2.24348,1.64735,0.00687222,0.00687222,0.00687222
59,356365,1.10467,1.25605,1.48462,0.51643,0.65443,0.50503,0.29721,1.43599,2.2162,1.64214,0.00677543,0.00677543,0.00677543
60,362685,1.10115,1.25329,1.48363,0.51955,0.65308,0.50399,0.29714,1.43258,2.2056,1.63985,0.00667789,0.00667789,0.00667789
61,368947,1.09874,1.24123,1.4778,0.51612,0.65693,0.5036,0.29635,1.43713,2.22447,1.64227,0.00657963,0.00657963,0.00657963
62,375212,1.10081,1.24237,1.48119,0.51806,0.65634,0.50191,0.2959,1.43629,2.24632,1.64045,0.00648071,0.00648071,0.00648071
63,381454,1.09729,1.24401,1.47746,0.5176,0.6554,0.50041,0.29519,1.43676,2.27466,1.64037,0.00638115,0.00638115,0.00638115
64,387708,1.09421,1.23284,1.47682,0.5207,0.65562,0.50299,0.29594,1.43727,2.25144,1.64206,0.00628101,0.00628101,0.00628101
65,393922,1.09415,1.23486,1.47394,0.51975,0.65768,0.5012,0.29447,1.43978,2.24552,1.64446,0.00618034,0.00618034,0.00618034
66,400210,1.09363,1.22658,1.47419,0.51658,0.65792,0.50161,0.29517,1.44197,2.21159,1.64383,0.00607916,0.00607916,0.00607916
67,406438,1.08846,1.21877,1.4685,0.51685,0.66086,0.5025,0.29646,1.44,2.22412,1.6407,0.00597754,0.00597754,0.00597754
68,412654,1.08665,1.21367,1.46404,0.51992,0.66144,0.50561,0.2987,1.43495,2.21509,1.63601,0.00587551,0.00587551,0.00587551
69,418870,1.08503,1.20643,1.4643,0.5183,0.66739,0.50694,0.30087,1.4254,2.18743,1.62741,0.00577311,0.00577311,0.00577311
70,425129,1.08225,1.20619,1.46309,0.51872,0.67306,0.50861,0.30369,1.41802,2.17772,1.62055,0.0056704,0.0056704,0.0056704
71,431344,1.0792,1.2003,1.45919,0.52191,0.67786,0.5105,0.30518,1.41091,2.1409,1.61362,0.00556742,0.00556742,0.00556742
72,437580,1.07488,1.19427,1.4531,0.52182,0.67554,0.5079,0.30423,1.40609,2.14426,1.60886,0.00546421,0.00546421,0.00546421
73,443792,1.0716,1.19245,1.45269,0.52393,0.67421,0.50873,0.30474,1.40079,2.1353,1.60494,0.00536081,0.00536081,0.00536081
74,450089,1.07038,1.18481,1.45102,0.52695,0.67423,0.51013,0.30639,1.39481,2.10074,1.60067,0.00525728,0.00525728,0.00525728
75,456331,1.0708,1.18314,1.45096,0.53132,0.67603,0.51327,0.30873,1.38904,2.06951,1.59719,0.00515366,0.00515366,0.00515366
76,462608,1.06889,1.17671,1.44815,0.53278,0.67921,0.51591,0.3103,1.38823,2.03889,1.59685,0.00505,0.00505,0.00505
77,468818,1.06373,1.17196,1.44313,0.5337,0.67704,0.51667,0.31076,1.38626,2.01736,1.5953,0.00494634,0.00494634,0.00494634
78,475061,1.06008,1.16239,1.44252,0.5296,0.68091,0.5157,0.31074,1.38086,2.00399,1.58946,0.00484272,0.00484272,0.00484272
79,481322,1.05801,1.16287,1.44076,0.5299,0.68556,0.51766,0.31273,1.37783,1.96943,1.58444,0.00473919,0.00473919,0.00473919
80,487568,1.05524,1.1584,1.43931,0.53165,0.68887,0.51837,0.31277,1.37546,1.90825,1.58136,0.00463579,0.00463579,0.00463579
81,493786,1.05188,1.14836,1.43315,0.53347,0.68794,0.52061,0.3159,1.37062,1.89134,1.57618,0.00453258,0.00453258,0.00453258
82,499991,1.04726,1.14393,1.4298,0.53811,0.68777,0.52469,0.31955,1.3675,1.8716,1.57162,0.0044296,0.0044296,0.0044296
83,506223,1.04359,1.13406,1.42694,0.53576,0.69041,0.5238,0.31891,1.3674,1.85831,1.57103,0.00432689,0.00432689,0.00432689
84,512455,1.04486,1.12931,1.42816,0.53669,0.68696,0.52073,0.31793,1.36549,1.8546,1.56874,0.00422449,0.00422449,0.00422449
85,518670,1.03705,1.12306,1.42463,0.53886,0.68589,0.52117,0.31744,1.3662,1.87321,1.56817,0.00412246,0.00412246,0.00412246
86,524910,1.03977,1.12228,1.42316,0.54197,0.68814,0.52256,0.31859,1.35996,1.86973,1.56361,0.00402084,0.00402084,0.00402084
87,530884,1.03476,1.11504,1.41891,0.54254,0.68632,0.52185,0.31814,1.35947,1.88287,1.56414,0.00391966,0.00391966,0.00391966
88,536756,1.03162,1.10722,1.4151,0.53741,0.69109,0.5197,0.31788,1.35345,1.8822,1.55978,0.00381899,0.00381899,0.00381899
89,542626,1.02814,1.09833,1.41203,0.53833,0.68935,0.51723,0.31767,1.34896,1.9043,1.55625,0.00371885,0.00371885,0.00371885
90,548487,1.0215,1.09432,1.40702,0.53905,0.69225,0.51854,0.31896,1.34523,1.9097,1.55236,0.00361929,0.00361929,0.00361929
91,554354,1.02298,1.08867,1.40587,0.54041,0.69283,0.51855,0.31952,1.34556,1.89977,1.55466,0.00352037,0.00352037,0.00352037
92,560228,1.02136,1.08395,1.40556,0.54004,0.69405,0.51888,0.31919,1.34643,1.87124,1.55457,0.00342211,0.00342211,0.00342211
93,566061,1.0196,1.07984,1.40277,0.53807,0.69501,0.51704,0.31819,1.3426,1.81483,1.55031,0.00332457,0.00332457,0.00332457
94,571928,1.01171,1.06921,1.39759,0.5341,0.69147,0.51201,0.31558,1.33858,1.77123,1.54702,0.00322778,0.00322778,0.00322778
95,577804,1.00834,1.06542,1.39207,0.5368,0.69089,0.51348,0.31651,1.33564,1.74224,1.54331,0.0031318,0.0031318,0.0031318
96,583663,1.00589,1.0525,1.38911,0.548,0.69216,0.52259,0.32224,1.33365,1.71268,1.54025,0.00303665,0.00303665,0.00303665
97,589487,1.00333,1.04692,1.38656,0.55248,0.69453,0.52875,0.32608,1.33046,1.70323,1.53784,0.00294239,0.00294239,0.00294239
98,595312,1.00163,1.04324,1.3859,0.55342,0.69206,0.53118,0.32873,1.32505,1.68588,1.53394,0.00284906,0.00284906,0.00284906
99,601304,0.99246,1.03196,1.37944,0.5542,0.68828,0.53346,0.33199,1.31801,1.63284,1.52845,0.00275668,0.00275668,0.00275668
100,607569,0.99178,1.03306,1.37975,0.55655,0.68856,0.53387,0.33323,1.31461,1.61818,1.52548,0.00266532,0.00266532,0.00266532
101,613840,0.98607,1.01952,1.37228,0.56368,0.69206,0.54373,0.33989,1.31312,1.56367,1.52434,0.002575,0.002575,0.002575
102,620141,0.981,1.0193,1.36964,0.56715,0.69327,0.54838,0.34275,1.31055,1.53573,1.52219,0.00248577,0.00248577,0.00248577
103,626473,0.98075,1.01204,1.36907,0.57091,0.69489,0.55284,0.3464,1.30713,1.53594,1.51611,0.00239766,0.00239766,0.00239766
104,632746,0.97667,1.00137,1.3656,0.57408,0.69672,0.55581,0.34945,1.3028,1.52522,1.5091,0.00231071,0.00231071,0.00231071
105,639016,0.97391,0.9998,1.36289,0.57096,0.69645,0.55503,0.35008,1.29833,1.55917,1.50258,0.00222497,0.00222497,0.00222497
106,645295,0.97007,0.9858,1.3587,0.56784,0.69755,0.55556,0.35075,1.29374,1.57862,1.49661,0.00214046,0.00214046,0.00214046
107,651544,0.9644,0.98448,1.35488,0.57299,0.70001,0.56014,0.35439,1.28798,1.58142,1.49039,0.00205723,0.00205723,0.00205723
108,657770,0.96005,0.9755,1.35294,0.57915,0.70082,0.56605,0.35814,1.28266,1.57572,1.48528,0.00197532,0.00197532,0.00197532
109,664055,0.95528,0.96605,1.34739,0.58408,0.70102,0.56884,0.36059,1.27445,1.57619,1.47758,0.00189475,0.00189475,0.00189475
110,670290,0.95041,0.96326,1.34369,0.5881,0.70257,0.57022,0.36217,1.2669,1.56079,1.47089,0.00181557,0.00181557,0.00181557
111,676543,0.94957,0.9502,1.34337,0.59253,0.70648,0.57355,0.3655,1.26045,1.54965,1.46553,0.0017378,0.0017378,0.0017378
112,682821,0.94665,0.94818,1.33985,0.5992,0.71077,0.57796,0.36872,1.25639,1.52228,1.46172,0.00166149,0.00166149,0.00166149
113,689070,0.93888,0.94026,1.33518,0.60534,0.71419,0.58382,0.372,1.25463,1.50296,1.45988,0.00158667,0.00158667,0.00158667
114,695356,0.93666,0.93536,1.3327,0.6054,0.72424,0.59088,0.37645,1.25305,1.47406,1.45863,0.00151336,0.00151336,0.00151336
115,701580,0.93253,0.92377,1.32592,0.61251,0.72324,0.59682,0.38137,1.24634,1.4295,1.454,0.00144161,0.00144161,0.00144161
116,707815,0.92679,0.91497,1.32549,0.61613,0.72843,0.60298,0.38577,1.24243,1.36476,1.45058,0.00137143,0.00137143,0.00137143
117,714042,0.9246,0.91329,1.32219,0.61838,0.72985,0.60497,0.38708,1.23902,1.32311,1.44824,0.00130287,0.00130287,0.00130287
118,720235,0.91791,0.90611,1.31793,0.62817,0.73224,0.61288,0.39173,1.23465,1.26009,1.44483,0.00123596,0.00123596,0.00123596
119,726453,0.91956,0.89974,1.31786,0.63905,0.73026,0.62192,0.39822,1.22977,1.20976,1.44068,0.00117072,0.00117072,0.00117072
120,732640,0.91072,0.88942,1.3099,0.64452,0.73177,0.62687,0.40164,1.22814,1.17829,1.43892,0.00110718,0.00110718,0.00110718
121,738850,0.90871,0.8872,1.30819,0.65177,0.72843,0.63126,0.40536,1.22438,1.13824,1.43529,0.00104537,0.00104537,0.00104537
